Entity1,Relationship,Entity2,Date,Money
APEC,supply (verb: face),Ukraine,recent years,n/a
LNG,supplies (verb: reduce),LNG,late 2021,n/a
China,imports (verb: double),Japan,n/a,n/a
Indonesia,exports (verb: impose),Japan,one-month,n/a
Australia,exports (verb: work),LNG,n/a,n/a
LNG,supplies (verb: grow),the United States,n/a,n/a
Australia,exports (verb: expect),LNG,n/a,n/a
Indonesia,exports (verb: see),Malaysia,n/a,n/a
Mexico,imported (verb: become),LNG,n/a,n/a
APEC,supplies (verb: face),LNG,n/a,n/a
The United States,supporting (verb: support),U.S.,n/a,n/a
U.S.,exports (verb: provide),APEC,n/a,n/a
the U.S Energy Information Administration,exports (verb: accord),U.S.,mid-2023,n/a
the Indo-Pacific Economic Frameworkâ€™s,agreements (verb: deliver),the United States,n/a,n/a
Japan,supported (verb: support),Quality Infrastructure Investment,n/a,n/a
The ASEAN Power Grid,import (verb: move),Singapore,n/a,n/a
The United States,efforts (verb: lead),China,n/a,n/a
